date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2016-10-07,Belgium,Bosnia and Herzegovina,4.0,0.0,FIFA World Cup qualification,Brussels,Belgium,False
2016-10-08,Germany,Czechia,3.0,0.0,FIFA World Cup qualification,Hamburg,Germany,False
2016-10-08,Mexico,New Zealand,2.0,1.0,Friendly,Nashville,United States,True
2016-10-08,Senegal,Cabo Verde,2.0,0.0,FIFA World Cup qualification,Dakar,Senegal,False
2016-10-10,Netherlands,France,0.0,1.0,FIFA World Cup qualification,Amsterdam,Netherlands,False
2016-10-11,Argentina,Paraguay,0.0,1.0,FIFA World Cup qualification,Córdoba,Argentina,False
2016-10-11,Australia,Japan,1.0,1.0,FIFA World Cup qualification,Melbourne,Australia,False
2016-10-11,Colombia,Uruguay,2.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2016-10-11,IR Iran,Korea Republic,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,False
2016-10-11,Mexico,Panama,1.0,0.0,Friendly,Bridgeview,United States,True
2016-10-11,Morocco,Canada,4.0,0.0,Friendly,Marrakech,Morocco,False
2016-10-11,South Africa,Ghana,1.0,1.0,Friendly,Durban,South Africa,False
2016-11-06,Jordan,Iraq,0.0,0.0,Friendly,Amman,Jordan,False
2016-11-09,Netherlands,Belgium,1.0,1.0,Friendly,Amsterdam,Netherlands,False
2016-11-10,Brazil,Argentina,3.0,0.0,FIFA World Cup qualification,Belo Horizonte,Brazil,False
2016-11-10,Uruguay,Ecuador,2.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2016-11-10,Uzbekistan,Jordan,1.0,0.0,Friendly,Tashkent,Uzbekistan,False
2016-11-11,Czechia,Norway,2.0,1.0,FIFA World Cup qualification,Prague,Czech Republic,False
2016-11-11,England,Scotland,3.0,0.0,FIFA World Cup qualification,London,England,False
2016-11-11,France,Sweden,2.0,1.0,FIFA World Cup qualification,Saint-Denis,France,False
2016-11-11,Korea Republic,Canada,2.0,0.0,Friendly,Cheonan,South Korea,False
2016-11-11,United States,Mexico,1.0,2.0,FIFA World Cup qualification,Columbus,United States,False
2016-11-12,Morocco,Côte d'Ivoire,0.0,0.0,FIFA World Cup qualification,Marrakech,Morocco,False
2016-11-13,Egypt,Ghana,2.0,0.0,FIFA World Cup qualification,Alexandria,Egypt,False
2016-11-15,Argentina,Colombia,3.0,0.0,FIFA World Cup qualification,San Juan,Argentina,False
2016-11-15,England,Spain,2.0,2.0,Friendly,London,England,False
2016-11-15,France,Côte d'Ivoire,0.0,0.0,Friendly,Lens,France,False
2016-11-15,Japan,Saudi Arabia,2.0,1.0,FIFA World Cup qualification,Saitama,Japan,False
2016-11-15,Korea Republic,Uzbekistan,2.0,1.0,FIFA World Cup qualification,Seoul,South Korea,False
2016-11-15,Panama,Mexico,0.0,0.0,FIFA World Cup qualification,Panama City,Panama,False
2017-01-08,Egypt,Tunisia,1.0,0.0,Friendly,Cairo,Egypt,False
2017-01-08,Côte d'Ivoire,Sweden,2.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True
2017-01-15,Tunisia,Senegal,0.0,2.0,African Cup of Nations,Franceville,Gabon,True
2017-01-16,DR Congo,Morocco,1.0,0.0,African Cup of Nations,Oyem,Gabon,True
2017-01-19,Algeria,Tunisia,1.0,2.0,African Cup of Nations,Franceville,Gabon,True
2017-01-20,Côte d'Ivoire,DR Congo,2.0,2.0,African Cup of Nations,Oyem,Gabon,True
2017-01-23,Senegal,Algeria,2.0,2.0,African Cup of Nations,Franceville,Gabon,True
2017-01-24,Morocco,Côte d'Ivoire,1.0,0.0,African Cup of Nations,Oyem,Gabon,True
2017-01-25,Egypt,Ghana,1.0,0.0,African Cup of Nations,Port-Gentil,Gabon,True
2017-01-26,Brazil,Colombia,1.0,0.0,Friendly,Rio de Janeiro,Brazil,False
2017-01-29,DR Congo,Ghana,1.0,2.0,African Cup of Nations,Oyem,Gabon,True
2017-01-29,Egypt,Morocco,1.0,0.0,African Cup of Nations,Port-Gentil,Gabon,True
2017-03-18,IR Iran,Iraq,0.0,1.0,Friendly,Tehran,Iran,False
2017-03-22,Germany,England,1.0,0.0,Friendly,Dortmund,Germany,False
2017-03-22,Scotland,Canada,1.0,1.0,Friendly,Edinburgh,Scotland,False
2017-03-23,Iraq,Australia,1.0,1.0,FIFA World Cup qualification,Tehran,Iran,True
2017-03-23,Paraguay,Ecuador,2.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False
2017-03-23,Qatar,IR Iran,0.0,1.0,FIFA World Cup qualification,Doha,Qatar,False
2017-03-23,Uruguay,Brazil,1.0,4.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2017-03-27,Côte d'Ivoire,Senegal,1.0,1.0,Friendly,Paris,France,True
2017-03-28,Brazil,Paraguay,3.0,0.0,FIFA World Cup qualification,São Paulo,Brazil,False
2017-03-28,Ecuador,Colombia,0.0,2.0,FIFA World Cup qualification,Quito,Ecuador,False
2017-03-28,France,Spain,0.0,2.0,Friendly,Saint-Denis,France,False
2017-03-28,Morocco,Tunisia,1.0,0.0,Friendly,Marrakech,Morocco,False
2017-03-28,Panama,United States,1.0,1.0,FIFA World Cup qualification,Panama City,Panama,False
2017-03-28,Portugal,Sweden,2.0,3.0,Friendly,Funchal,Portugal,False
2017-03-28,Saudi Arabia,Iraq,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
2017-03-28,Uzbekistan,Qatar,1.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2017-05-28,Mexico,Croatia,1.0,2.0,Friendly,Los Angeles,United States,True
2017-05-31,Morocco,Netherlands,1.0,2.0,Friendly,Agadir,Morocco,False
2017-06-01,Iraq,Jordan,1.0,0.0,Friendly,Basra,Iraq,False
2017-06-02,France,Paraguay,5.0,0.0,Friendly,Rennes,France,False
2017-06-04,Netherlands,Côte d'Ivoire,5.0,0.0,Friendly,Rotterdam,Netherlands,False
2017-06-05,Belgium,Czechia,2.0,1.0,Friendly,Brussels,Belgium,False
2017-06-07,Iraq,Korea Republic,0.0,0.0,Friendly,Ras al-Khaimah,United Arab Emirates,True
2017-06-07,Spain,Colombia,2.0,2.0,Friendly,Murcia,Spain,False
2017-06-08,Australia,Saudi Arabia,3.0,2.0,FIFA World Cup qualification,Adelaide,Australia,False
2017-06-09,Argentina,Brazil,1.0,0.0,Superclásico de las Américas,Melbourne,Australia,True
2017-06-09,Sweden,France,2.0,1.0,FIFA World Cup qualification,Solna,Sweden,False
2017-06-10,Norway,Czechia,1.0,1.0,FIFA World Cup qualification,Oslo,Norway,False
2017-06-10,Scotland,England,2.0,2.0,FIFA World Cup qualification,Glasgow,Scotland,False
2017-06-11,Mexico,United States,1.0,1.0,FIFA World Cup qualification,Mexico City,Mexico,False
2017-06-11,Tunisia,Egypt,1.0,0.0,African Cup of Nations qualification,Radès,Tunisia,False
2017-06-12,IR Iran,Uzbekistan,2.0,0.0,FIFA World Cup qualification,Tehran,Iran,False
2017-06-13,Australia,Brazil,0.0,4.0,Friendly,Melbourne,Australia,False
2017-06-13,Canada,Curaçao,2.0,1.0,Friendly,Montreal,Canada,False
2017-06-13,France,England,3.0,2.0,Friendly,Saint-Denis,France,False
2017-06-13,Iraq,Japan,1.0,1.0,FIFA World Cup qualification,Tehran,Iran,True
2017-06-13,Norway,Sweden,1.0,1.0,Friendly,Oslo,Norway,False
2017-06-13,Qatar,Korea Republic,3.0,2.0,FIFA World Cup qualification,Doha,Qatar,False
2017-06-18,Portugal,Mexico,2.0,2.0,Confederations Cup,Kazan,Russia,True
2017-06-19,Australia,Germany,2.0,3.0,Confederations Cup,Sochi,Russia,True
2017-06-21,Mexico,New Zealand,2.0,1.0,Confederations Cup,Sochi,Russia,True
2017-06-24,New Zealand,Portugal,0.0,4.0,Confederations Cup,Saint Petersburg,Russia,True
2017-06-29,Germany,Mexico,4.0,1.0,Confederations Cup,Sochi,Russia,True
2017-07-01,Mexico,Paraguay,2.0,1.0,Friendly,Seattle,United States,True
2017-07-01,United States,Ghana,2.0,1.0,Friendly,East Hartford,United States,False
2017-07-02,Portugal,Mexico,2.0,1.0,Confederations Cup,Moscow,Russia,True
2017-07-08,United States,Panama,1.0,1.0,Gold Cup,Nashville,United States,False
2017-07-16,Curaçao,Mexico,0.0,2.0,Gold Cup,San Antonio,United States,True
2017-08-31,Brazil,Ecuador,2.0,0.0,FIFA World Cup qualification,Porto Alegre,Brazil,False
2017-08-31,France,Netherlands,4.0,0.0,FIFA World Cup qualification,Saint-Denis,France,False
2017-08-31,Japan,Australia,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,False
2017-08-31,Korea Republic,IR Iran,0.0,0.0,FIFA World Cup qualification,Seoul,South Korea,False
2017-08-31,Uruguay,Argentina,0.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2017-09-01,Cabo Verde,South Africa,2.0,1.0,FIFA World Cup qualification,Praia,Cape Verde,False
2017-09-01,Czechia,Germany,1.0,2.0,FIFA World Cup qualification,Prague,Czech Republic,False
2017-09-01,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False
2017-09-01,Tunisia,DR Congo,2.0,1.0,FIFA World Cup qualification,Radès,Tunisia,False
2017-09-04,Germany,Norway,6.0,0.0,FIFA World Cup qualification,Stuttgart,Germany,False
2017-09-05,Colombia,Brazil,1.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2017-09-05,DR Congo,Tunisia,2.0,2.0,FIFA World Cup qualification,Kinshasa,DR Congo,False
2017-09-05,Paraguay,Uruguay,1.0,2.0,FIFA World Cup qualification,Asunción,Paraguay,False
2017-09-05,Saudi Arabia,Japan,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
2017-09-05,South Africa,Cabo Verde,1.0,2.0,FIFA World Cup qualification,Durban,South Africa,False
2017-09-05,Türkiye,Croatia,1.0,0.0,FIFA World Cup qualification,Eskişehir,Turkey,False
2017-09-05,Uzbekistan,Korea Republic,0.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2017-10-05,Colombia,Paraguay,1.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2017-10-06,Japan,New Zealand,2.0,1.0,Kirin Challenge Cup,Toyota,Japan,False
2017-10-06,United States,Panama,4.0,0.0,FIFA World Cup qualification,Orlando,United States,False
2017-10-07,Bosnia and Herzegovina,Belgium,3.0,4.0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
2017-10-07,Cabo Verde,Senegal,0.0,2.0,FIFA World Cup qualification,Praia,Cape Verde,False
2017-10-10,Ecuador,Argentina,1.0,3.0,FIFA World Cup qualification,Quito,Ecuador,False
2017-10-10,Japan,Haiti,3.0,3.0,Kirin Challenge Cup,Yokohama,Japan,False
2017-10-10,Korea Republic,Morocco,1.0,3.0,Friendly,Biel,Switzerland,True
2017-10-10,Netherlands,Sweden,2.0,0.0,FIFA World Cup qualification,Amsterdam,Netherlands,False
2017-10-10,Portugal,Switzerland,2.0,0.0,FIFA World Cup qualification,Lisbon,Portugal,False
2017-10-10,Qatar,Curaçao,1.0,2.0,Friendly,Doha,Qatar,False
2017-10-10,Saudi Arabia,Ghana,0.0,3.0,Friendly,Jeddah,Saudi Arabia,False
2017-11-09,IR Iran,Panama,2.0,1.0,Friendly,Graz,Austria,True
2017-11-09,Scotland,Netherlands,0.0,1.0,Friendly,Aberdeen,Scotland,False
2017-11-10,Belgium,Mexico,3.0,3.0,Friendly,Brussels,Belgium,False
2017-11-10,England,Germany,0.0,0.0,Friendly,London,England,False
2017-11-10,Japan,Brazil,1.0,3.0,Friendly,Villeneuve-d'Ascq,France,True
2017-11-10,Korea Republic,Colombia,2.0,1.0,Friendly,Suwon,South Korea,False
2017-11-10,Portugal,Saudi Arabia,3.0,0.0,Friendly,Viseu,Portugal,False
2017-11-10,South Africa,Senegal,0.0,2.0,FIFA World Cup qualification,Polokwane,South Africa,False
2017-11-11,Côte d'Ivoire,Morocco,0.0,2.0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
2017-11-11,Qatar,Czechia,0.0,1.0,Friendly,Doha,Qatar,False
2017-11-12,Ghana,Egypt,1.0,1.0,FIFA World Cup qualification,Kumasi,Ghana,False
2017-11-14,Austria,Uruguay,2.0,1.0,Friendly,Vienna,Austria,False
2017-11-14,Belgium,Japan,1.0,0.0,Friendly,Bruges,Belgium,False
2017-11-14,England,Brazil,0.0,0.0,Friendly,London,England,False
2017-11-14,Germany,France,2.0,2.0,Friendly,Cologne,Germany,False
2017-11-14,Portugal,United States,1.0,1.0,Friendly,Leiria,Portugal,False
2017-11-14,Senegal,South Africa,2.0,1.0,FIFA World Cup qualification,Dakar,Senegal,False
2017-12-16,Japan,Korea Republic,1.0,4.0,EAFF Championship,Chōfu,Japan,False
2017-12-26,Iraq,Qatar,2.0,1.0,Gulf Cup,Kuwait City,Kuwait,True
2018-01-28,United States,Bosnia and Herzegovina,0.0,0.0,Friendly,Carson,United States,False
2018-01-31,Mexico,Bosnia and Herzegovina,1.0,0.0,Friendly,San Antonio,United States,True
2018-02-28,Iraq,Saudi Arabia,4.0,1.0,Friendly,Basra,Iraq,False
2018-03-21,Iraq,Qatar,2.0,3.0,Friendly,Basra,Iraq,False
2018-03-23,France,Colombia,2.0,3.0,Friendly,Saint-Denis,France,False
2018-03-23,Germany,Spain,1.0,1.0,Friendly,Düsseldorf,Germany,False
2018-03-23,Netherlands,England,0.0,1.0,Friendly,Amsterdam,Netherlands,False
2018-03-23,Norway,Australia,4.0,1.0,Friendly,Oslo,Norway,False
2018-03-23,Portugal,Egypt,2.0,1.0,Friendly,Zürich,Switzerland,True
2018-03-23,Senegal,Uzbekistan,1.0,1.0,Friendly,Casablanca,Morocco,True
2018-03-23,Tunisia,IR Iran,1.0,0.0,Friendly,Radès,Tunisia,False
2018-03-23,Uruguay,Czechia,2.0,0.0,Friendly,Nanning,China PR,True
2018-03-24,Canada,New Zealand,1.0,0.0,Friendly,San Pedro del Pinatar,Spain,True
2018-03-26,Portugal,Netherlands,0.0,3.0,Friendly,Geneva,Switzerland,True
2018-03-27,Algeria,IR Iran,1.0,2.0,Friendly,Graz,Austria,True
2018-03-27,Australia,Colombia,0.0,0.0,Friendly,London,England,True
2018-03-27,Belgium,Saudi Arabia,4.0,0.0,Friendly,Brussels,Belgium,False
2018-03-27,Bosnia and Herzegovina,Senegal,0.0,0.0,Friendly,Le Havre,France,True
2018-03-27,Germany,Brazil,0.0,1.0,Friendly,Berlin,Germany,False
2018-03-27,Mexico,Croatia,0.0,1.0,Friendly,Arlington,United States,True
2018-03-27,Morocco,Uzbekistan,2.0,0.0,Friendly,Casablanca,Morocco,False
2018-03-27,Spain,Argentina,6.0,1.0,Friendly,Madrid,Spain,False
2018-03-27,Switzerland,Panama,6.0,0.0,Friendly,Lucerne,Switzerland,False
2018-03-27,United States,Paraguay,1.0,0.0,Friendly,Cary,United States,False
2018-05-09,Algeria,Saudi Arabia,0.0,2.0,Friendly,Cádiz,Spain,True
2018-05-19,IR Iran,Uzbekistan,1.0,0.0,Friendly,Tehran,Iran,False
2018-05-28,Portugal,Tunisia,2.0,2.0,Friendly,Braga,Portugal,False
2018-05-28,Türkiye,IR Iran,2.0,1.0,Friendly,Istanbul,Turkey,False
2018-05-29,Argentina,Haiti,4.0,0.0,Friendly,Buenos Aires,Argentina,False
2018-05-30,Japan,Ghana,0.0,2.0,Friendly,Yokohama,Japan,False
2018-06-01,Türkiye,Tunisia,2.0,2.0,Friendly,Geneva,Switzerland,True
2018-06-01,Korea Republic,Bosnia and Herzegovina,1.0,3.0,Friendly,Jeonju,South Korea,False
2018-06-01,Czechia,Australia,0.0,4.0,Friendly,Sankt Pölten,Austria,True
2018-06-01,Algeria,Cabo Verde,2.0,3.0,Friendly,Algiers,Algeria,False
2018-06-01,Colombia,Egypt,0.0,0.0,Friendly,Bergamo,Italy,True
2018-06-02,Mexico,Scotland,1.0,0.0,Friendly,Mexico City,Mexico,False
2018-06-02,Belgium,Portugal,0.0,0.0,Friendly,Brussels,Belgium,False
2018-06-02,Austria,Germany,2.0,1.0,Friendly,Klagenfurt,Austria,False
2018-06-03,Spain,Switzerland,1.0,1.0,Friendly,Vila-real,Spain,False
2018-06-03,Croatia,Brazil,0.0,2.0,Friendly,Liverpool,England,True
2018-06-06,Norway,Panama,1.0,0.0,Friendly,Oslo,Norway,False
2018-06-06,Belgium,Egypt,3.0,0.0,Friendly,Brussels,Belgium,False
2018-06-07,Uruguay,Uzbekistan,3.0,0.0,Friendly,Montevideo,Uruguay,False
2018-06-07,Portugal,Algeria,3.0,0.0,Friendly,Lisbon,Portugal,False
2018-06-08,Germany,Saudi Arabia,2.0,1.0,Friendly,Leverkusen,Germany,False
2018-06-08,Croatia,Senegal,2.0,1.0,Friendly,Osijek,Croatia,False
2018-06-08,Switzerland,Japan,2.0,0.0,Friendly,Lugano,Switzerland,False
2018-06-09,Tunisia,Spain,0.0,1.0,Friendly,Krasnodar,Russia,True
2018-06-09,France,United States,1.0,1.0,Friendly,Lyon,France,False
2018-06-10,Austria,Brazil,0.0,3.0,Friendly,Vienna,Austria,False
2018-06-11,Korea Republic,Senegal,0.0,2.0,Friendly,Grödig,Austria,True
2018-06-12,Japan,Paraguay,4.0,2.0,Friendly,Innsbruck,Austria,True
2018-06-15,Egypt,Uruguay,0.0,1.0,FIFA World Cup,Ekaterinburg,Russia,True
2018-06-15,Morocco,IR Iran,0.0,1.0,FIFA World Cup,Saint Petersburg,Russia,True
2018-06-15,Portugal,Spain,3.0,3.0,FIFA World Cup,Sochi,Russia,True
2018-06-16,France,Australia,2.0,1.0,FIFA World Cup,Kazan,Russia,True
2018-06-17,Germany,Mexico,0.0,1.0,FIFA World Cup,Moscow,Russia,True
2018-06-17,Brazil,Switzerland,1.0,1.0,FIFA World Cup,Rostov-on-Don,Russia,True
2018-06-18,Sweden,Korea Republic,1.0,0.0,FIFA World Cup,Nizhny Novgorod,Russia,True
2018-06-18,Belgium,Panama,3.0,0.0,FIFA World Cup,Sochi,Russia,True
2018-06-18,Tunisia,England,1.0,2.0,FIFA World Cup,Volgograd,Russia,True
2018-06-19,Colombia,Japan,1.0,2.0,FIFA World Cup,Saransk,Russia,True
2018-06-20,Portugal,Morocco,1.0,0.0,FIFA World Cup,Moscow,Russia,True
2018-06-20,Uruguay,Saudi Arabia,1.0,0.0,FIFA World Cup,Rostov-on-Don,Russia,True
2018-06-20,IR Iran,Spain,0.0,1.0,FIFA World Cup,Kazan,Russia,True
2018-06-21,Argentina,Croatia,0.0,3.0,FIFA World Cup,Nizhny Novgorod,Russia,True
2018-06-23,Belgium,Tunisia,5.0,2.0,FIFA World Cup,Moscow,Russia,True
2018-06-23,Korea Republic,Mexico,1.0,2.0,FIFA World Cup,Rostov-on-Don,Russia,True
2018-06-23,Germany,Sweden,2.0,1.0,FIFA World Cup,Sochi,Russia,True
2018-06-24,England,Panama,6.0,1.0,FIFA World Cup,Nizhny Novgorod,Russia,True
2018-06-24,Japan,Senegal,2.0,2.0,FIFA World Cup,Ekaterinburg,Russia,True
2018-06-25,Saudi Arabia,Egypt,2.0,1.0,FIFA World Cup,Volgograd,Russia,True
2018-06-25,Spain,Morocco,2.0,2.0,FIFA World Cup,Kaliningrad,Russia,True
2018-06-25,IR Iran,Portugal,1.0,1.0,FIFA World Cup,Saransk,Russia,True
2018-06-27,Korea Republic,Germany,2.0,0.0,FIFA World Cup,Kazan,Russia,True
2018-06-27,Mexico,Sweden,0.0,3.0,FIFA World Cup,Ekaterinburg,Russia,True
2018-06-28,Senegal,Colombia,0.0,1.0,FIFA World Cup,Samara,Russia,True
2018-06-28,Panama,Tunisia,1.0,2.0,FIFA World Cup,Saransk,Russia,True
2018-06-28,England,Belgium,0.0,1.0,FIFA World Cup,Kaliningrad,Russia,True
2018-06-30,France,Argentina,4.0,3.0,FIFA World Cup,Kazan,Russia,True
2018-06-30,Uruguay,Portugal,2.0,1.0,FIFA World Cup,Sochi,Russia,True
2018-07-02,Brazil,Mexico,2.0,0.0,FIFA World Cup,Samara,Russia,True
2018-07-02,Belgium,Japan,3.0,2.0,FIFA World Cup,Rostov-on-Don,Russia,True
2018-07-03,Sweden,Switzerland,1.0,0.0,FIFA World Cup,Saint Petersburg,Russia,True
2018-07-03,Colombia,England,1.0,1.0,FIFA World Cup,Moscow,Russia,True
2018-07-06,Uruguay,France,0.0,2.0,FIFA World Cup,Nizhny Novgorod,Russia,True
2018-07-06,Brazil,Belgium,1.0,2.0,FIFA World Cup,Kazan,Russia,True
2018-07-07,Sweden,England,0.0,2.0,FIFA World Cup,Samara,Russia,True
2018-07-10,France,Belgium,1.0,0.0,FIFA World Cup,Saint Petersburg,Russia,True
2018-07-11,Croatia,England,2.0,1.0,FIFA World Cup,Moscow,Russia,True
2018-07-14,Belgium,England,2.0,0.0,FIFA World Cup,Saint Petersburg,Russia,True
2018-07-15,France,Croatia,4.0,2.0,FIFA World Cup,Moscow,Russia,True
2018-09-06,Germany,France,0.0,0.0,UEFA Nations League,Munich,Germany,False
2018-09-06,Austria,Sweden,2.0,0.0,Friendly,Vienna,Austria,False
2018-09-06,Portugal,Croatia,1.0,1.0,Friendly,Faro-Loulé,Portugal,False
2018-09-07,Mexico,Uruguay,1.0,4.0,Friendly,Houston,United States,True
2018-09-07,Scotland,Belgium,0.0,4.0,Friendly,Glasgow,Scotland,False
2018-09-07,United States,Brazil,0.0,2.0,Friendly,East Rutherford,United States,False
2018-09-08,England,Spain,1.0,2.0,UEFA Nations League,London,England,False
2018-09-09,France,Netherlands,2.0,1.0,UEFA Nations League,Paris,France,False
2018-09-10,Sweden,Türkiye,2.0,3.0,UEFA Nations League,Stockholm,Sweden,False
2018-09-11,Spain,Croatia,6.0,0.0,UEFA Nations League,Elche,Spain,False
2018-09-11,Bosnia and Herzegovina,Austria,1.0,0.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False
2018-09-11,Colombia,Argentina,0.0,0.0,Friendly,East Rutherford,United States,True
2018-09-11,England,Switzerland,1.0,0.0,Friendly,London,England,False
2018-09-11,United States,Mexico,1.0,0.0,Friendly,Nashville,United States,False
2018-09-11,Uzbekistan,IR Iran,0.0,1.0,Friendly,Tashkent,Uzbekistan,False
2018-10-11,Argentina,Iraq,4.0,0.0,Friendly,Riyadh,Saudi Arabia,True
2018-10-11,Türkiye,Bosnia and Herzegovina,0.0,0.0,Friendly,Rize,Turkey,False
2018-10-11,United States,Colombia,2.0,4.0,Friendly,Tampa,United States,False
2018-10-12,Belgium,Switzerland,2.0,1.0,UEFA Nations League,Brussels,Belgium,False
2018-10-12,Croatia,England,0.0,0.0,UEFA Nations League,Rijeka,Croatia,False
2018-10-12,Japan,Panama,3.0,0.0,Kirin Challenge Cup,Niigata,Japan,False
2018-10-12,Korea Republic,Uruguay,2.0,1.0,Friendly,Seoul,South Korea,False
2018-10-12,Qatar,Ecuador,4.0,3.0,Friendly,Doha,Qatar,False
2018-10-12,Saudi Arabia,Brazil,0.0,2.0,Friendly,Riyadh,Saudi Arabia,False
2018-10-13,Netherlands,Germany,3.0,0.0,UEFA Nations League,Amsterdam,Netherlands,False
2018-10-14,Scotland,Portugal,1.0,3.0,Friendly,Glasgow,Scotland,False
2018-10-15,Spain,England,2.0,3.0,UEFA Nations League,Seville,Spain,False
2018-10-15,Croatia,Jordan,2.0,1.0,Friendly,Rijeka,Croatia,False
2018-10-15,Saudi Arabia,Iraq,1.0,1.0,Friendly,Riyadh,Saudi Arabia,False
2018-10-16,France,Germany,2.0,1.0,UEFA Nations League,Paris,France,False
2018-10-16,Belgium,Netherlands,1.0,1.0,Friendly,Brussels,Belgium,False
2018-10-16,Japan,Uruguay,4.0,3.0,Kirin Challenge Cup,Saitama,Japan,False
2018-10-16,Korea Republic,Panama,2.0,2.0,Friendly,Cheonan,South Korea,False
2018-10-16,Uzbekistan,Qatar,2.0,0.0,Friendly,Tashkent,Uzbekistan,False
2018-10-16,Argentina,Brazil,0.0,1.0,Superclásico de las Américas,Jeddah,Saudi Arabia,True
2018-11-14,Switzerland,Qatar,0.0,1.0,Friendly,Lugano,Switzerland,False
2018-11-15,Croatia,Spain,3.0,2.0,UEFA Nations League,Zagreb,Croatia,False
2018-11-15,Austria,Bosnia and Herzegovina,0.0,0.0,UEFA Nations League,Vienna,Austria,False
2018-11-15,England,United States,3.0,0.0,Friendly,London,England,False
2018-11-16,Netherlands,France,2.0,0.0,UEFA Nations League,Rotterdam,Netherlands,False
2018-11-16,Argentina,Mexico,2.0,0.0,Friendly,Córdoba,Argentina,False
2018-11-16,Brazil,Uruguay,1.0,0.0,Friendly,London,England,True
2018-11-16,Egypt,Tunisia,3.0,2.0,African Cup of Nations qualification,Alexandria,Egypt,False
2018-11-17,Türkiye,Sweden,0.0,1.0,UEFA Nations League,Konya,Turkey,False
2018-11-17,Australia,Korea Republic,1.0,1.0,Friendly,Brisbane,Australia,False
2018-11-18,Switzerland,Belgium,5.0,2.0,UEFA Nations League,Lucerne,Switzerland,False
2018-11-18,England,Croatia,2.0,1.0,UEFA Nations League,London,England,False
2018-11-18,Spain,Bosnia and Herzegovina,1.0,0.0,Friendly,Las Palmas,Spain,False
2018-11-19,Germany,Netherlands,2.0,2.0,UEFA Nations League,Gelsenkirchen,Germany,False
2018-11-20,Argentina,Mexico,2.0,0.0,Friendly,Mendoza,Argentina,False
2018-11-20,France,Uruguay,1.0,0.0,Friendly,Paris,France,False
2018-11-20,Jordan,Saudi Arabia,1.0,1.0,Friendly,Amman,Jordan,False
2018-11-20,Korea Republic,Uzbekistan,4.0,0.0,Friendly,Brisbane,Australia,True
2018-11-20,Panama,Ecuador,1.0,2.0,Friendly,Panama City,Panama,False
2018-11-20,South Africa,Paraguay,1.0,1.0,Friendly,Durban,South Africa,False
2018-11-20,Tunisia,Morocco,0.0,1.0,Friendly,Radès,Tunisia,False
2018-12-23,Qatar,Jordan,2.0,0.0,Friendly,Doha,Qatar,False
2018-12-27,Qatar,Algeria,0.0,1.0,Friendly,Doha,Qatar,False
2018-12-31,Korea Republic,Saudi Arabia,0.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,True
2018-12-31,Qatar,IR Iran,1.0,2.0,Friendly,Doha,Qatar,False
2019-01-06,Australia,Jordan,0.0,1.0,AFC Asian Cup,Al Ain,United Arab Emirates,True
2019-01-16,IR Iran,Iraq,0.0,0.0,AFC Asian Cup,Dubai,United Arab Emirates,True
2019-01-17,Saudi Arabia,Qatar,0.0,2.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
2019-01-17,Japan,Uzbekistan,2.0,1.0,AFC Asian Cup,Al Ain,United Arab Emirates,True
2019-01-21,Australia,Uzbekistan,0.0,0.0,AFC Asian Cup,Al Ain,United Arab Emirates,True
2019-01-21,Japan,Saudi Arabia,1.0,0.0,AFC Asian Cup,Sharjah,United Arab Emirates,True
2019-01-22,Qatar,Iraq,1.0,0.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
2019-01-25,Korea Republic,Qatar,0.0,1.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
2019-01-27,United States,Panama,3.0,0.0,Friendly,Glendale,United States,False
2019-01-28,IR Iran,Japan,0.0,3.0,AFC Asian Cup,Al Ain,United Arab Emirates,True
2019-02-01,Japan,Qatar,1.0,3.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
2019-03-21,United States,Ecuador,1.0,0.0,Friendly,Orlando,United States,False
2019-03-22,Japan,Colombia,0.0,1.0,Kirin Challenge Cup,Yokohama,Japan,False
2019-03-22,England,Czechia,5.0,0.0,UEFA Euro qualification,London,England,False
